,date,home_team,away_team,home_score,away_score,country,neutral,impt,home_ranking,home_total_points,home_prev_points,home_rank_change,home_cur_year_avg_weighted,home_last_year_avg_weighted,home_2_year_avg_weighted,home_3_year_avg_weighted,away_ranking,away_total_points,away_prev_points,away_rank_change,away_cur_year_avg_weighted,away_last_year_avg_weighted,away_2_year_avg_weighted,away_3_year_avg_weighted,diff_in_ranking,home_mean_weighted_over_years,away_mean_weighted_over_years,diff_in_mean_weighted_over_years,Result
397,2017-10,Portugal,Switzerland,2,0,2,0,1,3.0,1446.38,1386.0,0.0,803.48,278.89,231.53,132.48,11.0,1134.5,1210.0,-4.0,615.16,263.64,158.82,96.87,-8.0,361.59499999999997,283.62249999999995,77.97250000000003,2
398,2017-10,Russia,Iran,1,1,2,0,0,65.0,562.64,558.0,-1.0,256.25,89.02,146.18,71.19,34.0,784.25,865.0,-9.0,364.13,257.77,113.75,48.6,31.0,140.66,196.0625,-55.4025,1
399,2017-11,Iran,Panama,2,1,0,1,0,32.0,797.79,784.0,2.0,405.04,234.07,115.92,42.75,56.0,620.91,670.0,-7.0,346.99,155.04,80.92,37.96,-24.0,199.445,155.2275,44.2175,2
400,2017-11,Belgium,Mexico,3,3,2,0,0,5.0,1325.29,1333.0,0.0,626.0,300.0,229.48,169.81,16.0,1032.32,1060.0,0.0,522.73,287.74,132.29,89.57,-11.0,331.3225,258.0825,73.24000000000001,1
401,2017-11,England,Germany,0,0,2,0,0,15.0,1046.98,1116.0,-3.0,479.31,284.28,178.73,104.66,1.0,1601.91,1631.0,0.0,863.86,376.34,143.6,218.11,14.0,261.745,400.47749999999996,-138.73249999999996,1
402,2017-11,Japan,Brazil,1,3,0,1,0,55.0,622.63,711.0,-11.0,292.06,179.07,103.4,48.1,2.0,1482.53,1619.0,0.0,708.3,439.61,175.41,159.21,53.0,155.6575,370.6325,-214.975,0
403,2017-11,South Korea,Colombia,2,1,2,0,0,59.0,563.0,588.0,3.0,206.83,200.54,118.01,37.61,13.0,1077.6,1095.0,0.0,405.19,373.26,137.95,161.19,46.0,140.7475,269.39750000000004,-128.65000000000003,2
404,2017-11,Poland,Uruguay,0,0,2,0,0,7.0,1208.96,1323.0,-1.0,639.96,351.13,130.62,87.24,21.0,924.02,1034.0,-4.0,337.05,310.1,159.69,117.17,-14.0,302.2375,231.00250000000003,71.23499999999999,1
405,2017-11,Portugal,Saudi Arabia,3,0,2,0,0,3.0,1357.89,1446.0,0.0,744.16,308.92,190.76,114.05,63.0,538.79,576.0,0.0,246.75,186.47,76.86,28.71,-60.0,339.47249999999997,134.69750000000002,204.77499999999995,2
406,2017-11,Russia,Argentina,0,1,2,0,0,65.0,533.51,563.0,0.0,228.71,85.31,150.28,69.22,4.0,1348.36,1445.0,0.0,510.42,451.62,198.8,187.52,61.0,133.38,337.09,-203.70999999999998,0
407,2017-11,Spain,Costa Rica,5,0,2,0,0,6.0,1230.83,1218.0,2.0,657.78,253.96,235.01,84.08,26.0,849.67,914.0,-4.0,337.61,315.69,74.44,121.93,-20.0,307.7075,212.41750000000002,95.28999999999996,2
408,2017-11,Poland,Mexico,0,1,2,0,0,7.0,1208.96,1323.0,-1.0,639.96,351.13,130.62,87.24,16.0,1032.32,1060.0,0.0,522.73,287.74,132.29,89.57,-9.0,302.2375,258.0825,44.15500000000003,0
409,2017-11,Argentina,Nigeria,2,4,0,1,0,4.0,1348.36,1445.0,0.0,510.42,451.62,198.8,187.52,50.0,671.07,721.0,-9.0,381.21,170.69,57.22,61.94,-46.0,337.09,167.765,169.325,0
410,2017-11,Belgium,Japan,1,0,2,0,0,5.0,1325.29,1333.0,0.0,626.0,300.0,229.48,169.81,55.0,622.63,711.0,-11.0,292.06,179.07,103.4,48.1,-50.0,331.3225,155.6575,175.665,2
411,2017-11,England,Brazil,0,0,2,0,0,15.0,1046.98,1116.0,-3.0,479.31,284.28,178.73,104.66,2.0,1482.53,1619.0,0.0,708.3,439.61,175.41,159.21,13.0,261.745,370.6325,-108.88749999999999,1
412,2017-11,Germany,France,2,2,2,0,0,1.0,1601.91,1631.0,0.0,863.86,376.34,143.6,218.11,9.0,1183.3,1226.0,-2.0,524.56,431.45,87.23,140.06,-8.0,400.47749999999996,295.825,104.65249999999997,1
413,2017-11,South Korea,Serbia,1,1,2,0,0,59.0,563.0,588.0,3.0,206.83,200.54,118.01,37.61,37.0,755.6,748.0,1.0,450.37,172.31,88.82,44.1,22.0,140.7475,188.9,-48.1525,1
414,2017-11,Russia,Spain,3,3,2,0,0,65.0,533.51,563.0,0.0,228.71,85.31,150.28,69.22,6.0,1230.83,1218.0,2.0,657.78,253.96,235.01,84.08,59.0,133.38,307.7075,-174.3275,1
415,2017-12,Japan,South Korea,1,4,2,0,1,57.0,599.57,623.0,-2.0,268.99,179.07,103.4,48.1,60.0,569.73,563.0,-1.0,213.57,200.54,118.01,37.61,-3.0,149.89000000000001,142.4325,7.45750000000001,0
416,2018-01,Denmark,Sweden,0,1,0,1,0,12.0,1098.82,1099.0,0.0,784.52,144.99,93.21,76.11,18.0,1000.44,998.0,0.0,659.74,151.28,138.74,50.68,-6.0,274.7075,250.10999999999999,24.597499999999997,0
417,2018-03,Denmark,Panama,1,0,2,0,0,12.0,1108.33,1099.0,0.0,784.52,144.99,93.21,85.62,53.0,605.12,604.0,0.0,311.24,171.81,87.56,34.51,-41.0,277.08500000000004,151.28,125.80500000000004,2
418,2018-03,France,Colombia,2,3,2,0,0,9.0,1185.16,1183.0,0.0,524.56,431.45,87.23,141.92,13.0,1105.82,1095.0,0.0,445.71,349.93,137.95,172.23,-4.0,296.29,276.455,19.835000000000036,0
419,2018-03,Germany,Spain,1,1,2,0,0,1.0,1609.01,1602.0,0.0,863.86,376.34,143.6,225.21,6.0,1228.0,1231.0,0.0,657.78,253.96,235.01,81.25,-5.0,402.2525,307.0,95.2525,1
420,2018-03,Mexico,Iceland,3,0,0,1,0,17.0,1038.2,1034.0,0.0,520.74,291.12,131.72,94.62,18.0,1026.4,1017.0,0.0,586.71,241.07,104.35,94.28,-1.0,259.55,256.6025,2.947499999999991,2
421,2018-03,Peru,Croatia,2,0,0,1,0,11.0,1128.12,1128.0,0.0,654.93,319.26,113.17,40.77,15.0,1052.6,1048.0,0.0,523.51,284.25,148.01,96.83,-4.0,282.03249999999997,263.15,18.882499999999993,2
422,2018-03,Poland,Nigeria,0,1,2,0,0,6.0,1228.07,1213.0,1.0,639.96,351.13,130.62,106.35,52.0,609.0,606.0,0.0,266.33,216.47,52.86,73.34,-46.0,307.015,152.25,154.765,0
423,2018-03,Portugal,Egypt,2,1,0,1,0,3.0,1360.45,1358.0,0.0,744.16,308.92,190.76,116.61,44.0,686.5,683.0,-1.0,270.62,296.91,81.64,37.33,-41.0,340.11249999999995,171.625,168.48749999999995,2
424,2018-03,Russia,Brazil,0,3,2,0,0,63.0,530.78,534.0,-2.0,228.71,85.31,150.28,66.49,2.0,1489.28,1484.0,0.0,720.93,428.18,175.41,164.76,61.0,132.6975,372.32,-239.6225,0
425,2018-03,Serbia,Morocco,1,2,0,1,0,34.0,779.88,784.0,0.0,486.88,164.54,88.82,39.64,42.0,693.74,692.0,0.0,362.8,226.25,73.58,31.11,-8.0,194.97,173.435,21.534999999999997,0
426,2018-03,Tunisia,Iran,1,0,2,0,0,23.0,919.96,914.0,0.0,530.04,226.84,51.61,111.48,33.0,791.89,790.0,0.0,405.04,234.07,82.73,70.05,-10.0,229.9925,197.9725,32.02000000000001,2
427,2018-03,Australia,Colombia,0,0,0,1,0,37.0,740.29,737.0,-1.0,426.07,180.29,76.06,57.88,13.0,1105.82,1095.0,0.0,445.71,349.93,137.95,172.23,24.0,185.07500000000002,276.455,-91.37999999999997,1
